x,y,vx,vy,r,t,name
-57732745335.95986,-93070574327.56006,-29527.662203502558,18050.932735534614,109522608121.28552,16243200,Venus
-60240409065.957375,-91440759055.00287,-29023.88576386012,18863.60269163423,109500316442.41476,16329600,Venus
-62702626144.938545,-89741914612.26172,-28497.882858578356,19662.55142061513,109477077800.54419,16416000,Venus
-65117506862.278114,-87975278407.58641,-27950.008302541297,20447.178294853093,109452909101.81956,16502400,Venus
-67483193531.32754,-86142139042.13606,-27380.63274362758,21216.890803823546,109427827941.25682,16588800,Venus
-69797861846.65431,-84243835574.52362,-26790.142538504413,21971.104949218057,109401852592.50418,16675200,Venus
-72059722229.81343,-82281756751.04686,-26178.939619897123,22709.24564209206,109375001997.14885,16761600,Venus
-74267021162.88548,-80257340201.43857,-25547.441355000585,23430.747101947836,109347295753.56644,16848000,Venus
-76418042508.98695,-78172071599.97893,-24896.080394693025,24135.053257634794,109318754105.31154,16934400,Venus
-78511108818.92812,-76027483791.82529,-24225.304513207935,24821.618149926388,109289397929.04813,17020800,Venus
-80544582623.16408,-73825155884.42862,-23535.576437916236,25489.9063356096,109259248722.01845,17107200,Venus
-82516867708.15431,-71566712303.92215,-22827.373668868455,26139.393292899025,109228328589.04965,17193600,Venus
-84426410376.21553,-69253821816.38615,-22101.18828774553,26769.56582796293,109196660229.09727,17280000,Venus
-86271700687.92244,-66888196513.91338,-21357.52675586698,27379.922482323753,109164266921.32536,17366400,Venus
-88051273686.08078,-64471590765.42223,-20596.909700906774,27969.97394086978,109131172510.72298,17452800,Venus
-89763710600.26698,-62005800132.1899,-19819.871691970024,28539.243440188973,109097401393.2576,17539200,Venus
-91407640030.89925,-59492660248.10492,-19026.96100268819,29087.26717690953,109062978500.56589,17625600,Venus
-92981739111.77571,-56934045664.66799,-18218.739361996162,29613.59471570518,109027929284.18306,17712000,Venus
-94484734649.98717,-54331868660.80205,-17395.781692262164,30117.78939659659,108992279699.31233,17798400,Venus
-95915404242.08368,-51688078017.56642,-16558.67583445037,30599.42874115309,108956056188.1365,17884800,Venus
-97272577365.34827,-49004657757.90674,-15708.022260006808,31058.104857172275,108919285662.67424,17971200,Venus
-98555136443.00468,-46283625851.61083,-14844.433769171454,31493.42484138784,108881995487.18405,18057600,Venus
-99762017882.16212,-43527032885.68221,-13968.535175433379,31905.011179729383,108844213460.11967,18144000,Venus
-100892213083.27658,-40736960700.38607,-13080.962975861688,32292.50214463124,108805967795.6411,18230400,Venus
-101944769419.88676,-37915520991.26846,-12182.365007062399,32655.55218886116,108767287104.68604,18316800,Venus
-102918791187.36302,-35064853877.49735,-11273.400086530757,32993.83233531377,108728200375.60759,18403200,Venus
-103813440519.389,-32187126436.92427,-10354.73763918957,33307.03056218845,108688736954.38394,18489600,Venus
-104627938270.8803,-29284531208.31769,-9427.057308927018,33594.85218294651,108648926524.40736,18576000,Venus
-105361564866.02989,-26359284661.27352,-8491.048554972112,33857.02022041864,108608799085.85986,18662400,Venus
-106013661110.1587,-23413625634.36446,-7547.4102329724565,34093.27577441044,108568384934.68411,18748800,Venus
-106583628964.04036,-20449813742.148273,-6596.850160667282,34303.37838213181,108527714641.15872,18835200,Venus
